speaker_name,stage,day,session_title,start_time
,Main Briefing Center,April 28,Opening Ceremony,9:00 AM
Hung Cao,Main Briefing Center,April 28,Acting Secretary of the Navy Address,9:00 AM
Carlos A. Ruiz,Main Briefing Center,April 28,Everyone Fights: A Senior Enlisted Perspective on Preparing Marines for the Next 250 Years,9:15 AM
Jacob M. Reiff,Main Briefing Center,April 28,Everyone Fights: A Senior Enlisted Perspective on Preparing Marines for the Next 250 Years,9:15 AM
Ryan A. Gnecco,Main Briefing Center,April 28,Everyone Fights: A Senior Enlisted Perspective on Preparing Marines for the Next 250 Years,9:15 AM
Daniel L. Krause,Main Briefing Center,April 28,Everyone Fights: A Senior Enlisted Perspective on Preparing Marines for the Next 250 Years,9:15 AM
,Drone Zone,April 28,Drone Zone Demonstrations,9:00 AM
,GCE UAS/C-UAS Symposium,April 28,GCE UAS/C-UAS Symposium,8:30 AM
,OBJ 1 Wargaming,April 28,OBJ 1 Wargaming Sessions,9:30 AM
Richard Rusnok,Main Briefing Center,April 29,Aviation Modernization Panel,9:15 AM
Robert Finneran,Main Briefing Center,April 29,Aviation Modernization Panel,9:15 AM
Robert Cross,Acquisitions Stage,April 29,Acquisition Logistics Briefing,9:45 AM
Andrew Konicki,GCE UAS/C-UAS Symposium,April 29,Counter-UAS / Ground Based Air Defense Briefing,9:15 AM
,Marine Zone Stage,April 29,Marine Zone Sessions – Day 2,9:35 AM
,Warfighting Stage,April 29,Warfighting Pavilion Sessions – Day 2,9:25 AM
Daryl L. Caudle,Main Briefing Center,April 30,State of the United States Marine Corps,9:15 AM
Eric E. Austin,Main Briefing Center,April 30,State of the United States Marine Corps,9:15 AM
David C. Walsh,Main Briefing Center,April 30,State of the United States Marine Corps,9:15 AM
Tamara L. Campbell,Main Briefing Center,April 30,State of the United States Marine Corps,9:15 AM
Steven Bowdren,Main Briefing Center,April 30,State of the United States Marine Corps,9:15 AM
Joshua Nasca,Main Briefing Center,April 30,State of the United States Marine Corps,9:15 AM
Jason L. Morris,Main Briefing Center,April 30,State of the United States Marine Corps,9:15 AM
,Ground Systems Enterprise Summit,April 30,Ground Systems Enterprise Senior Leader Summit,9:15 AM
,Logistics Command AI Forum,April 30,Logistics Command Artificial Intelligence Forum,1:00 PM
,Warfighting Stage,April 30,Warfighting Pavilion Sessions – Day 3,9:25 AM
Matthew Tracy,Main Briefing Center,April 30,Closing Ceremony,3:30 PM
